Sampling date(mm/dd/yyyy)	Field	Experiment number	plot number	Ntrt	NAdd(g/m2/yr)	BurnTrt	Species Name	Species Biomass (g/m2)	Maximum plant height (cm)	Median plant height (cm)	Subplot	LastYrNtrtRec
8/4/1982	A	2	15	6	28	0	Setaria lutescens	41	66	55	Whole	1982
8/4/1982	A	2	16	2	3	0	Digitaria ischaemum	0.32	19.5	19	Whole	1982
8/4/1982	A	2	16	2	3	0	Agrostis scabra	1.667	27	23	Whole	1982
8/4/1982	A	2	16	2	3	0	Ambrosia artemisiifolia	52.4	57	41	Whole	1982
8/4/1982	A	2	16	2	3	0	Berteroa incana	57.8	70	50	Whole	1982
8/4/1982	A	2	16	2	3	0	Crepis tectorum	1.24	38	38	Whole	1982
8/4/1982	A	2	16	2	3	0	Erigeron canadensis	0.44	19	15	Whole	1982
8/4/1982	A	2	16	2	3	0	Polygonum convolvulus	5.133	-2	-2	Whole	1982
8/4/1982	A	2	16	2	3	0	Agropyron repens	61.933	34	22	Whole	1982
8/4/1982	A	2	17	1	0	0	Mollugo verticillata	0.46	8	7	Whole	1982
8/4/1982	A	2	17	1	0	0	Setaria lutescens	0.137	9	9	Whole	1982
8/4/1982	A	2	17	1	0	0	Agrostis scabra	3.6	54.3	20	Whole	1982
8/4/1982	A	2	17	1	0	0	Ambrosia artemisiifolia	34.2	60	40	Whole	1982
8/4/1982	A	2	17	1	0	0	Berteroa incana	36.467	55.5	40	Whole	1982
8/4/1982	A	2	17	1	0	0	Euphorbia (supina)	0.07	4	4	Whole	1982
8/4/1982	A	2	17	1	0	0	Agropyron repens	33.567	55.7	35	Whole	1982
8/4/1982	A	2	17	1	0	0	Polygonum convolvulus	6.633	-2	-2	Whole	1982
8/4/1982	A	2	17	1	0	0	Digitaria ischaemum	2.967	17.8	15	Whole	1982
8/4/1982	A	2	18	7	50	0	Digitaria ischaemum	0.323	23	16	Whole	1982
8/4/1982	A	2	18	7	50	0	Carex sp.	0.157	23	15	Whole	1982
8/4/1982	A	2	18	7	50	0	Lespedeza capitata	0.633	26	26	Whole	1982
8/4/1982	A	2	18	7	50	0	Ambrosia artemisiifolia	110.2	81	55	Whole	1982
8/4/1982	A	2	18	7	50	0	Berteroa incana	10.133	60	29	Whole	1982
8/4/1982	A	2	18	7	50	0	Agropyron repens	84.333	60	39	Whole	1982
8/4/1982	A	2	18	7	50	0	Polygonum convolvulus	51.567	-2	-2	Whole	1982
8/4/1982	A	2	19	6	28	0	Agropyron repens	143.6	58	52	Whole	1982
8/4/1982	A	2	19	6	28	0	Setaria lutescens	61.667	72	49	Whole	1982
8/4/1982	A	2	19	6	28	0	Digitaria ischaemum	34.1	46	22	Whole	1982
8/4/1982	A	2	19	6	28	0	Ambrosia artemisiifolia	226.933	97	65	Whole	1982
8/4/1982	A	2	19	6	28	0	Berteroa incana	17.033	56	42	Whole	1982
8/4/1982	A	2	19	6	28	0	Polygonum convolvulus	60.7	-2	-2	Whole	1982
8/4/1982	A	2	19	6	28	0	Miscellaneous litter	0	-3	-3	Whole	1982
8/4/1982	A	2	20	5	16	0	Berteroa incana	13.2	57	43	Whole	1991
8/4/1982	A	2	20	5	16	0	Digitaria ischaemum	3.567	39.5	22	Whole	1991
8/4/1982	A	2	20	5	16	0	Setaria viridis	57.667	100	76	Whole	1991
8/4/1982	A	2	20	5	16	0	Setaria lutescens	110.967	94	72	Whole	1991
8/4/1982	A	2	20	5	16	0	Panicum capillare	7.567	69	62.5	Whole	1991
8/4/1982	A	2	20	5	16	0	Agropyron repens	114.733	87	52	Whole	1991
8/4/1982	A	2	20	5	16	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	20	5	16	0	Cyperus sp.	0.287	19.5	19.5	Whole	1991
8/4/1982	A	2	20	5	16	0	Chenopodium album	109.133	96	78	Whole	1991
8/4/1982	A	2	20	5	16	0	Polygonum convolvulus	14.2	-2	-2	Whole	1991
8/4/1982	A	2	20	5	16	0	Ambrosia artemisiifolia	102.767	91	66	Whole	1991
8/4/1982	A	2	21	1	0	0	Mollugo verticillata	0.04	-2	-2	Whole	1991
8/4/1982	A	2	21	1	0	0	Berteroa incana	15.567	72	42	Whole	1991
8/4/1982	A	2	21	1	0	0	Ambrosia artemisiifolia	27.433	64	57.5	Whole	1991
8/4/1982	A	2	21	1	0	0	Setaria lutescens	33.8	70	44	Whole	1991
8/4/1982	A	2	21	1	0	0	Agropyron repens	82.667	52	43	Whole	1991
8/4/1982	A	2	21	1	0	0	Chenopodium album	0.23	-2	-2	Whole	1991
8/4/1982	A	2	21	1	0	0	Polygonum convolvulus	5.667	-2	-2	Whole	1991
8/4/1982	A	2	22	2	3	0	Polygonum convolvulus	11.9	-2	-2	Whole	1991
8/4/1982	A	2	22	2	3	0	Fragaria virginiana	0.107	8.5	8.5	Whole	1991
8/4/1982	A	2	22	2	3	0	Erigeron canadensis	3.433	59	42.5	Whole	1991
8/4/1982	A	2	22	2	3	0	Ambrosia artemisiifolia	104.967	71.2	50	Whole	1991
8/4/1982	A	2	22	2	3	0	Digitaria ischaemum	54.267	43.5	20	Whole	1991
8/4/1982	A	2	22	2	3	0	Setaria lutescens	4.3	50	-2	Whole	1991
8/4/1982	A	2	22	2	3	0	Poa pratensis	3.533	28	15	Whole	1991
8/4/1982	A	2	22	2	3	0	Miscellaneous herbs	0.41	-2	-2	Whole	1991
8/4/1982	A	2	22	2	3	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	22	2	3	0	Euphorbia (supina)	5.167	12	7	Whole	1991
8/4/1982	A	2	22	2	3	0	Agropyron repens	58.6	43.3	30	Whole	1991
8/4/1982	A	2	22	2	3	0	Chenopodium album	18.667	62.5	62.5	Whole	1991
8/4/1982	A	2	23	4	10	0	Crepis tectorum	0.353	22	14	Whole	1982
8/4/1982	A	2	23	4	10	0	Agropyron repens	31.933	76.5	47	Whole	1982
8/4/1982	A	2	23	4	10	0	Mollugo verticillata	6.033	-2	-2	Whole	1982
8/4/1982	A	2	23	4	10	0	Tragopogon dubius	6.733	59	59	Whole	1982
8/4/1982	A	2	23	4	10	0	Polygonum convolvulus	31.467	-2	-2	Whole	1982
8/4/1982	A	2	23	4	10	0	Erigeron canadensis	4.467	63	63	Whole	1982
8/4/1982	A	2	23	4	10	0	Miscellaneous herbs	0.133	-2	-2	Whole	1982
8/4/1982	A	2	23	4	10	0	Chenopodium album	85.833	86	65	Whole	1982
8/4/1982	A	2	23	4	10	0	Berteroa incana	66.633	66	55	Whole	1982
8/4/1982	A	2	23	4	10	0	Ambrosia coronopifolia	206.167	90	67	Whole	1982
8/4/1982	A	2	23	4	10	0	Digitaria ischaemum	2	35	24	Whole	1982
8/4/1982	A	2	23	4	10	0	Hedeoma hispida	0.8	35	35	Whole	1982
8/4/1982	A	2	24	3	6	0	Berteroa incana	3.233	33	33	Whole	1991
8/4/1982	A	2	24	3	6	0	Mollugo verticillata	1.267	-2	-2	Whole	1991
8/4/1982	A	2	24	3	6	0	Polygonum convolvulus	48.533	-2	-2	Whole	1991
8/4/1982	A	2	24	3	6	0	Chenopodium album	12.367	71	71	Whole	1991
8/4/1982	A	2	24	3	6	0	Ambrosia artemisiifolia	54.033	78	56	Whole	1991
8/4/1982	A	2	24	3	6	0	Digitaria ischaemum	9	34	24	Whole	1991
8/4/1982	A	2	24	3	6	0	Agropyron repens	71.833	51	37	Whole	1991
8/4/1982	A	2	24	3	6	0	Cenchrus longispinus	3.967	51	20	Whole	1991
8/4/1982	A	2	25	6	28	0	Polygonum convolvulus	39.833	-2	-2	Whole	1991
8/4/1982	A	2	25	6	28	0	Agropyron repens	157.167	69	43	Whole	1991
8/4/1982	A	2	25	6	28	0	Panicum capillare	12.467	51	42	Whole	1991
8/4/1982	A	2	25	6	28	0	Setaria lutescens	51.333	86	57	Whole	1991
8/4/1982	A	2	25	6	28	0	Ambrosia artemisiifolia	56.933	97	89.5	Whole	1991
8/4/1982	A	2	25	6	28	0	Digitaria ischaemum	1.667	28	24	Whole	1991
8/4/1982	A	2	25	6	28	0	Chenopodium album	8.067	69	69	Whole	1991
8/4/1982	A	2	25	6	28	0	Setaria viridis	15.1	84	50	Whole	1991
8/4/1982	A	2	26	4	10	0	Digitaria ischaemum	23.9	49	45	Whole	1982
8/4/1982	A	2	26	4	10	0	Agropyron repens	132.7	90.5	49	Whole	1982
8/4/1982	A	2	26	4	10	0	Setaria lutescens	10.867	71	35	Whole	1982
8/4/1982	A	2	26	4	10	0	Ambrosia artemisiifolia	68.4	83	62	Whole	1982
8/4/1982	A	2	26	4	10	0	Berteroa incana	13.733	57	40	Whole	1982
8/4/1982	A	2	26	4	10	0	Polygonum convolvulus	4.333	-2	-2	Whole	1982
8/4/1982	A	2	26	4	10	0	Mollugo verticillata	0.037	-2	-2	Whole	1982
8/4/1982	A	2	26	4	10	0	Miscellaneous litter	0	-3	-3	Whole	1982
8/4/1982	A	2	26	4	10	0	Agrostis scabra	0.21	-2	-2	Whole	1982
8/4/1982	A	2	27	5	16	0	Berteroa incana	53.133	66	51	Whole	1991
8/4/1982	A	2	27	5	16	0	Chenopodium album	99.633	101	94	Whole	1991
8/4/1982	A	2	27	5	16	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	27	5	16	0	Agropyron repens	143.233	79	52	Whole	1991
8/4/1982	A	2	27	5	16	0	Panicum capillare	0.993	40	40	Whole	1991
8/4/1982	A	2	27	5	16	0	Setaria lutescens	82.833	90	54	Whole	1991
8/4/1982	A	2	27	5	16	0	Ambrosia artemisiifolia	121.267	90.5	68	Whole	1991
8/4/1982	A	2	28	8	80	0	Setaria viridis	5.9	62	60	Whole	1991
8/4/1982	A	2	28	8	80	0	Agropyron repens	142.133	67	58	Whole	1991
8/4/1982	A	2	28	8	80	0	Polygonum convolvulus	43.867	-2	-2	Whole	1991
8/4/1982	A	2	28	8	80	0	Ambrosia artemisiifolia	306.2	109	89	Whole	1991
8/4/1982	A	2	28	8	80	0	Berteroa incana	10.933	69	44	Whole	1991
8/4/1982	A	2	29	2	3	0	Poa pratensis	0.243	18	-2	Whole	1991
8/4/1982	A	2	29	2	3	0	Polygonum convolvulus	13.633	-2	-2	Whole	1991
8/4/1982	A	2	29	2	3	0	Euphorbia (supina)	5.733	-2	-2	Whole	1991
8/4/1982	A	2	29	2	3	0	Berteroa incana	24.233	55	45	Whole	1991
8/4/1982	A	2	29	2	3	0	Digitaria ischaemum	0.08	33	28	Whole	1991
8/4/1982	A	2	29	2	3	0	Panicum capillare	2.133	37	26.5	Whole	1991
