"scale","tscale","iter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.02,4,2,-0.101366277027041,NA,-0.0557858878285524,-0.0557858878285524,-0.621226662447,0.0719205181129453,-0.402359478108525,-0.402359478108525,0.648813676739216,0.50922048181526,0.593726438643418,0.549306144334055,-0.229072682968539,-0.238877861256859,0,0.173286795139986,0.0655910661168728,-0.0200106769183842,0.19329747205837,0.173286795139986,0.527553300086647,0.530065884050023,0.493520256505502,0.402359478108525,153,0.102442446218875,126,0.143304354017049,153,0.18565712040447,126,0.158687351978989,153,0.128591391372318,129,0.132262852225284,153,0.245610517424887,126,0.233613403370224
0.02,5,2,-0.138629436111989,NA,-0.32188758248682,-0.32188758248682,-0.219722457733622,-0.439444915467244,-0.32188758248682,-0.102165124753198,0.524933718432632,0.415888308335967,0.450258359721299,0.453736708263673,0.0524728528934982,0.0148215944307443,-0.358351893845611,0.259856596826052,-0.138629436111989,-1.11022302462516e-17,0.230535901987677,NA,0.433810740073905,0.428013232699254,0.377413929806476,0.259856596826052,204,0.103487304390208,168,0.145854949743943,204,0.18334872472721,168,0.189068669872936,204,0.126624583458139,172,0.141135565987462,204,0.235538384512763,168,0.235079492356312
0.02,6,2,-0.0303869261323258,-0.752038698388137,0.0783339382076226,0.14591145622565,-0.183102048111352,-0.366204096222703,0.0437273774112485,-0.0371905918857016,0.43984288826921,0.372265370251182,0.417587656165123,0.339480321210173,-0.152715121979026,-0.128864981372247,0.115524530093324,0.183102048111352,-0.26823965207235,-0.311967029483599,0.0675775180180274,NA,0.351702200057765,0.366204096222703,0.298626578204676,0.244389511465571,255,0.117335478252934,210,0.171717148797637,255,0.170596861982933,210,0.244359836390002,255,0.14200988231711,215,0.168536244084461,255,0.23004741032186,210,0.189966670616923
0.02,7,2,-0.0260459366848507,-0.740260394822499,0.0671433756065336,0.112636765766324,-0.255965638461151,-0.156944612666873,-0.328940727570578,0.125066962479129,0.368602404227475,0.338160516304517,0.369142507490319,0.284632880670029,-0.0318776501877442,-0.0525321114464739,-0.156944612666873,0.156944612666873,-0.328940727570578,-0.267400310985942,0.0865908290814737,0.303965150748883,0.309864814338503,0.340375400095369,0.27384608745458,0.209476724113347,306,0.101643397127516,252,0.168110593849975,306,0.173430021926178,252,0.287174220025507,306,0.136702437253385,258,0.175344181923578,306,0.230082724926907,252,0.224101750961911
0.02,8,2,-0.3106133312235,-0.21723445021902,0.0420590295776516,-0.0638532029707488,-0.137326536083514,-0.137326536083514,-0.114536341484269,-0.201179739054263,0.316712101744679,0.326869972254525,0.3106133312235,0.265032942025011,-0.0278929439142762,-0.11943893062843,NA,0.1059122325484,-0.0866433975699932,-0.0100053384591921,0.137326536083514,0.0594458239897887,0.259930192709979,0.293921907145435,0.243238768631914,0.183292133599178,357,0.105276142612146,294,0.179646986595247,357,0.170772190105021,294,0.307253055643798,357,0.131559389526186,301,0.190148280620051,357,0.226374368738364,294,0.307152187903509
0.02,9,2,0.0941442067096893,-0.330715373284657,-0.101810081319351,-0.0567584026406656,-0.154032706791099,0,-0.133774756036215,0.0770163533955495,0.283271685658397,0.276100738865333,0.237785129277363,0.205091854499815,-0.101810081319351,0.0361580444927364,NA,0.0941442067096893,-0.0117067239619807,-0.0687821342673581,0.0171278533141398,-0.0220215256896083,0.237785129277363,0.268103683351435,0.199084385469784,0.185997381507964,408,0.100607253579394,336,0.185907742484692,408,0.174333832114971,336,0.346319853367508,408,0.138339036988138,344,0.201861606069293,408,0.242825796064712,336,0.404288902588987
0.02,10,2,0.045953232937844,-0.14204407708137,-0.0916290731874155,-0.0223143551314209,-0.0287682072451781,-0.109861228866811,0.053062825106217,0.0182321556793955,0.258021682959233,0.256494935746154,0.239789527279837,0.173460105538811,0.0262364264467491,-0.0485507815781701,0,0.0287682072451781,-0.0916290731874155,0.0207639364778245,0.0510825623765991,0.0166914240780653,0.211021320034659,0.241293315016291,0.182454929205105,0.154044504094715,459,0.110193412919185,378,0.21588994664613,459,0.187148537985116,378,0.368694635702555,459,0.134634763831971,387,0.178335230370239,459,0.221351943280676,378,0.501124904076587
0.02,11,2,-0.0489996818847897,-0.411255774901388,-0.0324249949035211,-0.083299157443105,-0.225900604526182,-0.0534351513547381,-0.0630133800509041,0,0.233177214314685,0.217990479345306,0.199747688848747,0.185171084296458,-0.0464386930696355,-0.033429525465938,0.144364776014473,0.0630133800509041,-0.0464386930696355,NA,0.0946776249843783,0.0918531747982742,0.20223850468403,0.223339615711028,0.162887224475278,0.126026760101808,510,0.101905187413668,421,0.3808193416507,510,0.185038848879859,421,0.382866383977317,510,0.134430802927233,430,0.189875946894194,510,0.235958748909668,421,0.433629643586147
0.02,12,2,-4.62592926927149e-18,-0.175539182505718,-0.0185952959428508,-0.134119826036175,-0.00725094808246911,-0.0209428690234088,-0.00878004297148555,-0.0763575609895129,0.215018069132694,0.199824606066531,0.212127605967036,0.183102048111352,0.0442190209218475,0.0668622060437448,0.120397280432594,-0.0915510240556758,-0.100331067027161,NA,0.0915510240556758,-0.0559615787935423,0.187607649883875,0.2035289196141,0.159743551015172,0.139498036130973,561,0.108195879978066,463,0.404945424640034,561,0.172885447619746,463,0.389814129286588,561,0.141183582685205,473,0.160092277093811,561,0.229327969629262,463,0.503091776566892
0.02,13,2,-4.2700885562506e-18,-0.159581075005198,-0.123802916341085,-0.03929427875123,-0.0414612692871297,-0.031189623700628,-0.0926132926404566,0.0140247351379965,0.201897584012551,0.188979674832408,0.191146665368308,0.145932306529683,0.0201818664974993,0.0533190138892265,-0.0998738444243736,1.06752213906265e-17,-0.0392942787512301,-0.0644228515541737,-0.0533190138892266,-0.0140136981661144,0.175174406539212,0.182086431856278,0.153960000016163,0.13343085041447,612,0.10335022151584,505,0.443504339009292,612,0.177082498325273,505,0.394685858190886,612,0.142928801193564,516,0.164936765408849,612,0.221689293815382,505,0.576508782811884
0.02,14,2,NA,-0.192917301082717,-0.11495985088815,-0.065449337991011,-0.00621509835640209,-0.0579235868725949,0.0187403046048208,-0.0654493379910111,0.185375336211205,0.169080258152258,0.18590640610317,0.145491566232931,7.93016446160826e-18,0.0191617133281914,0.0577622650466621,0.0364875445547136,NA,-0.00129201554466375,-0.0130229683424253,0.0111276160520436,0.14626377452609,0.163269855334119,0.130324949432218,0.110031788639082,663,0.108648022006183,547,0.474956131225836,663,0.188268128968192,547,0.414408761751543,663,0.153252041885237,559,0.185389828073894,663,0.221676959651722,547,0.616894075214184
0.02,15,2,NA,-0.284715536470192,-0.0237783295959155,-0.0610860487916103,-0.0924196240746593,NA,-0.0148762367542807,-0.10729586082894,0.169963011395038,0.172684477696388,0.169702084773629,0.11945063128187,-0.0610860487916103,-1.01770443923973e-17,0.0221293901885986,0.0191788048301187,NA,-0.0545116436227623,0.027031007207211,-0.0430473683027248,0.148308236768289,0.156758350477565,0.135209883152819,0.0802648536217291,714,0.112267213427656,589,0.479375711827336,714,0.16293249118418,589,0.437450449579896,714,0.130730817576654,602,0.200611489072055,714,0.210426513254365,589,0.637481931386668
0.02,16,2,0.0254767817099095,-0.136395893206031,-0.0139464719571381,0.0113950972996222,-0.0547167960846187,NA,-0.0139464719571381,0.0113950972996222,0.163129362046375,0.174575500590157,0.151273008040652,0.124526885293138,-0.00658503222861413,-0.038689950525389,0.0990210257942779,0.0179801295282363,NA,0.0148313831984461,0.0253415692567603,0.049510512897139,0.149868454549898,0.156168748245021,0.125092500013133,0.0962778150591968,765,0.10151035253043,631,0.491917412169836,765,0.14471409082199,631,0.143718456306542,765,0.133662158907809,645,0.133979971644443,765,0.212524026631509,631,0.721315579161253
0.02,17,2,-0.129727343270354,-0.139457604111893,-0.135446181940826,0.0407733635623498,-0.0238508887122449,-0.173512645696292,-0.0946728183784765,0.0197924845071302,0.14904098905632,0.170021868111539,0.142374595802966,0.114465302885607,NA,-0.0285592832812765,NA,0.0407733635623497,-0.0570362640155551,-0.0202124172658497,0.0407733635623497,0.0970191488404561,0.144932543564128,0.133451973018727,0.117734117659419,0.0815467271246995,816,0.103030323601014,673,0.482366309946992,816,0.196337619402487,673,0.146488721407778,816,0.148086563532962,688,0.136564445171103,816,0.240535774848309,673,0.754562062727355
0.02,18,2,0.0282490702339411,-0.101366277027041,-0.0198152746632629,0.0101289753774419,-0.138050369432667,-0.0620782358131427,0.0294793472812317,-0.08941321735745,0.140760934108746,0.13957253466534,0.138050369432667,0.122068032074234,NA,-0.0654808331300915,NA,-0.0225258393393425,-0.0532338464145181,0.0773286738724627,-0.0101289753774419,-0.0349759867459639,0.133216404044354,0.133216404044354,0.114117985205308,0.0894132173574501,867,0.0878325869488698,715,0.47085611330404,867,0.178720689433256,715,0.151764686618119,867,0.137229632092156,731,0.151800300482419,867,0.249878945263449,715,0.7717975155304
0.02,19,2,1.63268091856641e-17,-0.13617691841133,0.013808645498289,0.0309361402580063,-0.00457954615734889,-0.153099393261434,0.0279278026874826,-0.0482258279933766,0.133352463892496,0.113657065755441,0.12118868910495,0.122914469253528,0.0477017774244899,-0.0985159040474522,0.0924196240746594,1.46081976924363e-18,-0.0179801295282363,0.0229388777395411,3.28684448079816e-18,NA,0.131869786157407,0.129301882780069,0.106744644594331,0.10241632363449,918,0.100772670457163,757,0.46883710683354,918,0.196217825392527,757,0.150103190908264,918,0.15162480047578,774,0.157385222028649,918,0.231474107838624,757,0.752843908308188
0.02,20,2,-0.0186929020345118,-0.0777064933954693,-0.0111571775657105,0.0168236118310607,-0.0202732554054082,-0.036487752021615,-0.0601986402162968,-0.0458145365937077,0.122550254905616,0.111679611075355,0.115129254649702,0.113434177065918,0.0166724773583521,0.00715504218203366,0.0866433975699932,0.0346573590279973,-0.0169224748501048,0.055338706952362,NA,NA,0.113863364250488,0.117568762858174,0.080471895621705,0.0733168534396714,970,0.106422151914721,800,0.44600239942095,970,0.208039394817795,800,0.183189172830505,970,0.179184604194008,817,0.164066415947414,970,0.215926823990019,800,0.713397107482635
0.02,21,2,-0.0659348930787036,-0.194805367058552,-0.109646909190193,0.0490294960562456,-0.118328888085143,-0.0213402688477981,-0.0573320383012351,-0.0436328919940074,0.120652229236068,0.0990210257942779,0.12481137257679,0.0826000502565765,0.0791619682513829,0.0205134721948788,-0.0407733635623497,NA,NA,0.0205242590301158,NA,-0.062967141864789,0.108441299286179,0.108846570222746,0.0660140171961853,0.0826000502565765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,22,2,-0.0972955074527656,-0.150407739677627,-0.0162124974517605,-0.0731562687470045,-0.112950302263091,0.00526802578289131,-0.0416495787215525,-0.0731562687470046,0.115883871405708,0.0905650074859185,0.119138128368754,0.0760898378896215,-0.0399253848108886,-0.116588607157343,NA,NA,NA,0.0450393272669095,-0.00526802578289132,-0.0310897659964124,0.108995239672653,0.10967877955286,0.0749390284357901,0.0760898378896215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,23,2,-0.0403475171612954,-0.0716227331798225,-0.0301368339373889,0.0380638581458218,-0.0176289177438332,-0.0312752160185272,0.0176289177438332,NA,0.114116025746224,0.0921853711391344,0.113958209744025,0.0866273984647916,0.0940038583820005,-0.0637537855997142,NA,0.0436328919940074,-0.00670155487714528,-0.0337453031950433,3.30423519233678e-19,0.00702796803286962,0.104256316208625,0.109814288882968,0.0733216936334882,0.0602736678747779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,24,2,-0.088450461320696,-0.136734308797843,-0.0501655335135806,0.042900809049215,-0.0746566445511689,-0.118304076611108,0.00397125749184687,NA,0.108135612789869,0.0830179235287586,0.0999123030332654,0.0915510240556758,0.0368604643734695,-0.00696058686096526,0.0123968639619006,0.0499369222121868,0.0163239435949389,0.0308019542738173,0.0337244247604262,0.0269498250366344,0.0989544064405697,0.1035377770745,0.0773457495985678,0.0610973778663928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,25,2,0.0234346304666386,-0.130789338850111,-0.0481589121730374,-0.0204330249506396,-0.00729286227175815,-0.00890410489765274,-0.0921034037197618,-0.0574676452166226,0.107240861148572,0.0878889830934488,0.106270276268586,0.0778364059622125,0.0255559419522661,-0.0247615683362489,0.0729628611115732,0.0243311212145836,0.0179472546236636,NA,-0.00970189353540043,-0.0106258833959147,0.0940550102865391,0.097109929437922,0.0821649493478218,0.0519713193652105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,26,2,0.0344449405493529,-0.125339783064689,-0.0137182670745666,2.2951725989847e-17,-0.0207306346435649,-0.0273658140162113,-0.0885609651151556,-0.0457755120278379,0.10415577696547,0.0859073931348882,0.090437509890903,0.0830570865135913,0.0666411490241916,-0.0986518983639053,0.0723459491468163,0.0288811325233311,-0.00221523883975682,NA,-0.00929764797142541,-0.0101428886961004,0.0947635861765449,0.0910432159281391,0.074842698040589,0.0643837089835259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,27,2,0.00534125570498093,-0.0648744172973063,0.00675265025162798,-0.0189194675468885,-0.0920335796217778,-0.0763817001953775,-0.0852809293701498,-0.108322008044088,0.0955635862811972,0.0770163533955495,0.0904572976062668,0.0720707462613079,-0.0319403078487109,0.00530003124595087,0.0481714719846896,-0.0554517744447956,-0.0275516274350143,0.0221995177982963,-0.00421442062631305,0.0172128546561745,0.0927972569255828,0.0827256378335961,0.0770163533955495,0.0642444835328929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,28,2,-0.0748426980405889,-0.0734439424955553,-0.0429990287259263,0.0120168655936148,-0.00310754917820103,-0.0578491306452413,-0.0127383908549547,-0.10415577696547,0.0932167783122145,0.0810244121899416,0.0887466660638572,0.0757236977214318,-0.0307118344699143,0.0135532007751751,-0.031506690025452,0.00858244428131577,-0.0125079161935557,0.0173032803981871,-0.0463066463202283,0.0224581875305286,0.0794508411258691,0.0850938500238422,0.0694967910376898,0.057479925444075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,29,2,-0.0313814022365631,-0.0707237964772014,-0.041516303597446,-0.0315962321335915,-0.00628695023427426,-0.0193795608801684,-0.0554978590494517,-0.0339366937731168,0.0894915416192023,0.0671003499674246,0.0810819054194303,0.0577233252955749,-0.0295743591191767,0.0112214620839527,0.0176289177438333,-0.0256721177985165,-0.0308194665081183,-0.0111147380401382,-0.0852809293701498,0.0126341179767391,0.0717048807475805,0.079969461894664,0.0708318528860533,0.0478032538317204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,30,2,-0.0694967910376897,-0.107434099769734,0.00607738522646518,-0.0074381183771403,-0.00290037923298762,-0.00731408616592904,-0.05364793041447,-0.0327246689955055,0.0854983119153845,0.0809249411982684,0.0821284413530056,0.0597253156409352,0.0354732776075101,-0.0854983119153846,0.0168943795045069,-0.0102743597304207,-0.0048251195115446,-0.0192696923968333,-0.0822351818926445,-0.0567656353772914,0.0767528364331349,0.0744530740502365,0.0648636716351771,0.0648636716351771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,31,2,-0.00531554068369854,-0.0449450586660042,-0.00339872631154276,-0.0071981790746519,-0.0577986925557437,-0.00406148398815115,-0.0519173520140032,-0.0933810414173176,0.0837178937728021,0.0773514604128507,0.0794791367932312,0.0731833400425279,-0.0275347481454404,-0.0118620896814618,-0.0115072828980712,0.0348827900578786,-0.00463953799186981,0.00217051057843546,-0.0176146766815859,-0.0803353222359083,0.0787853882377163,0.0778365532310616,0.0636800330974842,0.0657058686213239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,32,2,0.0118891647979578,-0.0867563228481461,-0.0502949347635656,0.0056975486498111,-0.0433216987849966,-0.0867563228481461,-0.00329251611430707,-0.0671634340180755,0.0806317759247602,0.0697997569220967,0.0742158048304272,0.0608096921579785,0.0613516544465829,-0.0458230333997946,0.0215236841513624,0.00743811837714034,-0.0273950813405496,0.0242015355008565,-0.0401324268108645,-0.0527109471360563,0.0763233448552876,0.0729804661192824,0.0649825481774949,0.0542062829808783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,33,2,NA,-0.0320403797745252,-0.0487708458313364,0.00552489566042289,-0.0122868214578231,-0.0392385588491772,-0.0364840243735132,-0.0873564581000713,0.0808250971691502,0.0654389166470719,0.0665825629495824,0.0589669742137974,0.0370129823495981,-0.00795043225659063,-0.0106548915722882,0.00719817907465194,-0.0319220670007892,0.0459161883251946,-0.0164782459279352,-0.074794955185156,0.0771373112607405,0.0687479861005565,0.0644918698742202,0.0542957414917593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,34,2,NA,-0.0940048372985171,-0.0104904395276097,0.0138236361542864,-0.00536239872923393,-0.0205243605121585,-0.0677230909704131,-0.0629657193919458,0.0796485353265356,0.0722569344947442,0.0711872979014832,0.0572326514428033,0.0470024186492586,-0.055053005202988,NA,-0.00899006476411814,-0.0255057653860289,0.0416062617497198,-6.50521303491303e-19,-0.0186538595978474,0.0748685668118952,0.0677230909704131,0.0618862986550061,0.0586008871967708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,35,2,-0.00157387626353004,-0.0531936916683994,-0.0261797351964044,0.0198042051588556,-0.0511931276922301,-0.0158560043565014,NA,-0.00433638920123252,0.0773728628886346,0.0638169206144884,0.0743625624412681,0.0440127154556328,0.00909407855910115,-0.0418953448226693,NA,0.00676192579740031,NA,0.0218594514201284,-0.0487708458313364,-0.00289071479644151,0.0657881455141156,0.0680750800190738,0.0579470927797796,0.0555974328301518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,36,2,0.0271093927407726,-0.0516291713252111,0.00506448768872099,0.0323097447168245,-0.00241698269415635,-0.0193170451879138,NA,-0.018488489983011,0.0737011656835337,0.0682426603561473,0.0659696042937131,0.0630189872588435,0.0674274928570748,-0.0327404165650457,0.00796941254693608,0.0346663234218131,NA,0.0330353942415276,-0.0150242830519409,-0.0461220787440493,0.066608202022177,0.0648715254393621,0.0548355840561669,0.0620442283751971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,37,2,0.04053043021062,-0.0429736399078935,-0.0622320295403796,-0.0434983219576784,0.00416623458992593,0.00103907554773928,-0.057568657729779,-0.0313889225333746,0.0662433810300627,0.0648079803459019,0.0703429644714698,0.046881109605084,0.0545583572824125,0.00879520001174671,-0.0478032538317203,0.023169434749038,-0.0477604792251595,-0.0151821818884141,-0.0101907126839638,-0.0169580541798613,0.060845724286662,0.0588792552520018,0.0548148174943861,0.0538494639105461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,38,2,0.0255147225795507,-0.0417799276882298,0.00885453254266352,-0.0241129139966883,-0.00479793570510404,-0.00568873368461147,-0.0192540883488874,-0.0367154399995089,0.0653922802575789,0.0557964088473708,0.0631025071789045,0.0547221458336799,0.0511263787054858,0.0113363925287488,0.027031007207211,0.0305170080185586,-0.104018511160737,0.0310921357567319,-0.00990763733163146,-0.00656304562688851,0.0592445210159604,0.0583045714738004,0.0519495006847897,0.0485743865920614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,39,2,-0.00139400469055517,NA,-0.0412676387803615,0.00467491171266552,0.0207930824670854,-0.0516092568887686,-0.0187337075827012,-0.0357231308103329,0.0665449924860735,0.0598814080978727,0.0672061236951944,0.0486441021765611,0.0619603988416363,0.00973050312063857,NA,0.0338584586079829,-0.0664362986660853,0.0145882545531661,-0.0247646143749772,-0.0107798351754705,0.0596737873226774,0.0622499547678987,0.0526698393255268,0.0375983863793187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,40,2,-0.00135528233803975,NA,-0.0402359478108525,-0.0229072682968539,-0.0071920518112945,-0.0261382045529022,-0.0895051942542672,-0.0423536292745816,0.065616714804079,0.0530065884050023,0.0581819426396104,0.050922048181526,NA,0.0163481616851666,NA,-0.0182407152778933,-0.0644230774943857,0.0227984399351293,-0.0316834948506825,-0.0155448829982062,0.0593726438643418,0.0591780903532904,0.0549306144334055,0.0346573590279973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,41,2,0.0234459612893169,-0.0841490624110912,-0.0293651903494131,NA,0.00544252564181002,-0.0254679941797509,-0.0412676387803615,-0.0161181707544198,0.0653907689930315,0.0569603638004155,0.060093981477809,0.0450201631828861,NA,-0.00195226116276917,0.0746776649352453,0.0234946341506194,-0.0948404072347894,0.0183146755141616,-0.0234946341506194,-0.0101971413822018,0.0542591110127886,0.0569603638004155,0.054651455835999,0.0357643187510592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,42,2,0.0169567635892241,-0.00897175228869979,NA,NA,0.00829301653019564,-0.0130812035941137,-0.0575646273248511,-0.0101366277027041,0.0624921093372181,0.0570927445904374,0.053602185681107,0.0439482545356745,NA,0.00494379439948203,0.0596732032776387,-0.0346573590279973,-0.0921306813137954,0.0109283876199076,-0.0127706405941498,-0.00992879555635442,0.057627812586915,0.0581511198897429,0.0533502306970466,0.0426609397435251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,43,2,0.0342949794089861,-0.0442877166177047,NA,-0.0540383833171809,-0.0255491229922816,-0.000920495804459681,-0.0293651903494131,-0.022348554435955,0.0617033015024934,0.0590459039780994,0.0577885267392558,0.0429262021046124,0.0550490542546946,0.0152075922652713,0.0523400287300147,0.0136491655594006,-0.0256107986941331,0.0320048167305537,-0.022348554435955,-0.00572162952087717,0.0529597043025525,0.0546831455154297,0.0452537243966352,0.0374287886612582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,44,2,0.0363821808151711,-0.0376019349194068,NA,-0.0405892402913911,NA,-0.0156376080092636,-0.0426609397435251,-0.0479738814414825,0.0589830615217469,0.0431163632928609,0.0555078871674819,0.0490791874853039,0.0683904668354347,0.015753345012726,0.0646242522745947,0.00531294169795739,-0.0871506444860227,-0.00238867235523753,-0.00531294169795738,-0.0267610352925353,0.0582943035786713,0.0558349039277569,0.0435664230041377,0.0350101145669807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,45,2,-0.0180960327982775,-0.0133796573597277,-0.03831995029605,-0.0174241080746741,NA,0.000845759166764532,-0.0374287886612581,-0.0468582097800527,0.0544667799580515,0.0518972203514897,0.049436078922763,0.0398168770939568,0.0421599738392557,0.0136245438419202,0.0743625624412681,-0.00669028075469257,-0.042503577198651,-0.0192364408480353,-0.0535484905347452,-0.0529037487895006,0.0506059396668835,0.0545941282849179,0.0444773333380027,0.0371994763015927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,46,2,-0.00116167057546264,-0.0314703771424362,-0.0535484905347452,-0.0753224091971028,-0.0166110797396089,0.0100416534608873,-0.00704897564326907,-0.0365781343735023,0.0513229130677831,0.0477657516812222,0.0511168534165973,0.0377087185953936,0.0366848145555189,0.0142157927697101,0.0643057670275723,1.13545536609391e-17,-0.0211968864919094,-0.0449358657961323,-0.015753345012726,-0.0351406314240376,0.0489411260566629,0.0485563526414586,0.0403543041383832,0.0318768927998571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,47,2,0.0149850468928027,-0.0562876308988472,-0.0407218061188194,-0.0304061301248269,NA,-0.0116277365281011,-0.00318001874757051,-0.0203620162638701,0.0539084428501581,0.0451119901319168,0.0561501559492608,0.0459464733904973,0.0619688020343901,-0.0164508486858187,0.06541535482839,0.00495874558476023,-0.00835505220216684,0.0257773467468938,-0.00792610986530516,-0.0182037055639449,0.0478998255022658,0.0489911721913627,0.0394957019226729,0.0276443188112822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,48,2,0.0273630182801349,-0.0341835771994607,-0.044775622678717,-0.0330962290314015,NA,-0.0565802105531388,-0.0500561976737836,NA,0.0531134410609494,0.0441721570041686,0.0538332823423381,0.0499561515166327,0.0589231817199403,-0.0245553124237843,0.0454531828444864,1.20676415720126e-17,-0.0279300562025123,0.0201200536091415,-0.0111049048644781,-0.0335433299956722,0.0499561515166327,0.0428830860933751,0.0405397947719857,0.0204339427710777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,49,2,0.0405113780607147,NA,-0.0181793048739265,-0.0471398662979663,0.0270005031225005,-0.0553763762860507,-0.0576180893851534,NA,0.0513815606655304,0.0415690189236947,0.0527346439271884,0.0476607125676946,0.0499369222121868,-0.0240541835988091,0.0489626283303702,0.011906718892243,-0.0244606968725385,0.0068870714199703,-0.0256164426452327,-0.0237875869266981,0.0531161160294772,0.0428583842629096,0.0408465306165331,0.028291721655508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,50,2,-0.0161290727115082,NA,-0.0256164426452327,-0.0546049755023454,0.0264135356633157,-0.0206927452710476,-0.0335299565090438,0.00396351210421641,0.0500287190347842,0.0502461124795223,0.0505145728861651,0.0415888308335967,0.0409011029643886,-0.0374360435380318,0.0376019349194069,0.0144405662616655,-0.0266309838210001,-0.00604061850007512,-0.0144405662616655,-0.0121655606072918,0.0474981150914734,0.0411677626496401,0.0430352440651892,0.0240794560865187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,51,2,0.0256164426452327,-0.044775622678717,-0.0335299565090438,-0.0098157685840063,0.0186925617849215,-0.0202704443471486,-0.020475553242118,-0.0108686302928934,0.0496803296854398,0.0502931246561086,0.0483108478547092,0.0399388613188439,0.0517292637854386,-0.0287517072312437,0.0535908433496639,0.00827479812465643,-0.0367076348533804,-0.0254076421888853,0.00194510571029235,-0.0461500787312664,0.0470175543685955,0.0423428284186936,0.0412575324366707,0.0254761369437306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,52,2,0.00743072799872361,-0.0404511378416305,-0.069412191462493,-0.0121227160714063,0.0305486889331964,-0.0131355907277814,-0.0138629436111989,0.00979174227595283,0.0484172398579037,0.0477866663420769,0.043793601634803,0.0407742987730787,0.0506286411517058,-0.00504546662437482,0.0491355520169452,0.0111923157587085,-0.0284147488206117,0.0260039135935749,-0.0102165124753198,NA,0.0465455409355852,0.0452187549454515,0.0399892604169199,0.028198789784489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,53,2,NA,-0.0367493818742656,-0.0264351167996464,-0.0242106757449547,0.0403502590318249,-0.023850888712245,-0.0100161887012939,0.0178667089255898,0.0471969047497964,0.0384317344766234,0.0443655708898769,0.0367152858312323,0.0266861217804597,8.3790416952842e-18,0.0188588422375891,0.0215414174248649,-0.0550310144657151,0.0226209369411517,-0.0315576061261588,NA,0.0443655708898769,0.0437568753763256,0.0397006444201926,0.0290650007725877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
