"scale","tscale","iter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.01,11,1,-0.0427276026587032,0.0373858040690237,5.04646829375071e-18,0.311484486767393,0.101810081319351,0.0261529156774347,0.104789046358035,NA,0.199747688848747,0.126026760101808,0.236608153222217,0.176900922641392,-0.146312537494009,-0.0202857773922009,NA,NA,NA,0.0795880670321727,NA,-0.0228467662073551,0.215193055830147,0.172465453171444,NA,0.196316749941216,510,0.153682113112301,483,0.184627798544182,483,0.224656069254517,456,0.234715803671417,510,0.187500108476594,421,0.951669769002399,510,0.327724447257488,421,0.791527306538331
0.01,12,1,0.00981525297136529,-0.16094379124341,0.050511316964193,0.426969744969996,0.132175583998232,0.0817357710843105,0.0337887590090137,NA,0.191882091082837,0.178338846958023,0.199824606066531,0.149313289102338,0.0151934630661629,-0.0185952959428508,NA,NA,NA,0.072955728112825,NA,-0.0675775180180273,0.197260301177635,0.144550087949009,NA,0.18905696177653,561,0.139417510655511,532,0.201571855103048,532,0.225058957432906,502,0.225788274219724,561,0.166825887143579,463,0.969320736287162,561,0.308358366607865,463,0.899534115041869
0.01,13,1,-0.0754484040778251,-0.146312537494009,0.0392942787512301,0.364303016839316,0.120159621816574,4.2700885562506e-18,-0.0140247351379965,NA,0.188979674832408,0.177121930230311,0.191146665368308,0.115698261290483,-0.0171648885626315,NA,NA,-0.26892979207227,-0.130898675982022,0.0258824797400933,NA,-0.169017275179709,0.184453482522952,0.11849577238055,NA,0.195305682389098,612,0.15225231934259,580,0.186840810612779,580,0.224330502474942,548,0.222588254167452,612,0.170936980624563,505,0.980491428075889,612,0.308367102273156,505,0.967000935580621
0.01,14,1,-0.148531538691417,-0.0763575609895129,0.0110107628448042,0.333944432102706,0.0763575609895129,3.96508223080413e-18,NA,0.0936017651982871,0.173410588282004,0.152861868821162,0.198042051588556,0.11495985088815,3.96508223080413e-18,NA,NA,-0.186075234071501,-0.150496600540742,0.0335716878032668,NA,0.0205487194608415,0.173410588282004,0.131844763607024,NA,0.171278233771312,663,0.136753816125571,628,0.186112179828753,628,0.225222540151769,593,0.209565958186443,663,0.201408097598757,547,0.990879139094839,663,0.298274256448363,547,1.00603313831528
0.01,15,1,-1.11022302462516e-17,NA,NA,0.291091510301405,-0.0361541253265951,-0.0270310072072109,NA,0.106744487121839,0.151245569421224,0.1500861199071,0.16282313569128,0.124786811793439,-0.0610860487916103,0.036154125326595,NA,-0.346060226342756,NA,-5.55111512312578e-18,NA,4.81096644004235e-17,0.167487041598408,0.146481638489081,NA,0.17433065186908,714,0.152482412232039,677,0.192843548814907,677,0.217766019056303,639,0.231459051711277,714,0.180989651823119,589,0.997408090860304,714,0.291796040396467,589,1.01852408095906
0.01,16,1,-0.00834571203903267,NA,NA,0.171278233771312,0.0813881630848832,0.0529561162742002,0.0124538133674841,0.0985333727278511,0.143911568312128,0.116987636056349,0.15530666561175,0.121619384315957,-0.100589869527131,0.044582450648071,NA,-0.0915510240556758,NA,-0.0319266014853744,NA,0.0179801295282363,0.164941083100954,0.12996509635499,NA,0.15530666561175,765,0.150758275938321,725,0.193549556858444,725,0.254783632584335,685,0.250540211341466,765,0.164765645986357,631,0.998500505120141,765,0.304517615625887,631,1.2090207090646
0.01,17,1,NA,-0.0963663821919514,0.0756653288559323,0.206069496890554,0.0610860487916103,0.049841050611012,-0.0345862528943445,0.0130229683424253,0.14280871976165,0.122320090687049,0.122320090687049,0.105397615836944,0.0107247974584679,-0.0881170559988213,NA,-0.143134795439616,-0.019372598571642,-0.013126091253777,NA,0.0407733635623498,0.141052663105787,0.0946728183784765,NA,0.129248504549189,816,0.176188834369371,773,0.212617247215777,773,0.233504812644286,730,0.242684210275704,816,0.215378735461433,673,1,816,0.275652706607535,673,1.21933783070203
0.01,18,1,NA,-0.0894830691782406,0.0529561162742002,0.149868454549898,0.0922441574880986,0.0385081766977748,0.0108970866965486,NA,0.129743050878724,0.12507176658925,0.122068032074234,0.103989009827866,-0.0283792013203328,-0.0392880412138984,NA,-0.193432157221586,-0.0867500567704723,-0.0509050406596753,NA,0.0415119112127901,0.126037974517687,0.102545927249907,NA,0.119971347186298,867,0.158797483284162,822,0.250026258587756,822,0.210274669319987,776,0.244237169612022,867,0.204247613916726,715,1,867,0.295093207777165,715,1.18886113253208
0.01,19,1,0.0567694644731522,-0.0198167682311954,0.0854960978798541,0.205676915380381,0.013126091253777,-0.0213402688477981,-0.125190100344075,NA,0.124585453375348,0.112635061236646,0.140744665759291,0.106047527396961,-0.0268855591455784,-0.013126091253777,NA,-0.0939178144647966,-0.0560169217658016,-0.0847072585491632,NA,-0.115643398807169,0.119404396911493,0.0971487731841227,NA,0.122914469253528,918,0.191373689159819,870,0.360058770201539,870,0.199483235799845,822,0.236213765550377,918,0.197800378030857,757,1,918,0.284318217035435,757,1.12023126016807
0.01,20,1,0.0310897659964124,-0.0415610189745781,0.0245462640155022,0.155742243383696,0.0959567193383602,NA,-0.0572010787322866,0.0732408192445406,0.107974212467669,0.100745151027113,0.126286432215413,0.107003308174814,8.32667268468867e-18,-0.0123968639619005,NA,-0.194594706825648,-0.0273753389143363,0.0346573590279973,NA,0.0100335347731076,0.109861228866811,0.0922913345249165,NA,0.118356180706581,970,0.0972048680874594,919,0.409444399102882,919,0.224372514896867,868,0.222206953372139,970,0.264370625891342,800,1,970,0.263254208796035,800,1.00618620339915
0.01,21,1,0.041197859960507,-0.127591394139384,0.0527078179060243,0.147545283205607,0.0847072585491632,NA,-0.0755307644889117,0.0980384948696153,0.0903390468993277,0.104629741777915,0.111970250341118,0.092662388050253,-0.0766399005921,-0.0330846662853881,NA,-0.129248504549189,-0.0191124122537307,NA,NA,NA,0.102832583302542,0.092662388050253,NA,0.104629741777915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,22,1,0.0626381484247684,-0.0695979426941871,NA,0.119894763639919,0.100745151027113,0.0601986402162968,-0.0168236118310606,-0.0300485661038818,0.0963756152818223,0.104662958772457,0.102331445391204,0.0915865009337393,-0.0232193465348178,0.0143841036225891,NA,-0.122068032074234,-0.151447395442864,NA,NA,NA,0.107596527915074,0.0839012132044696,NA,0.106153405264411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
